same_person,id_1,id_2,pref_id,name_1,name_2,office_1,district_1,city_town_1,office_2,district_2,city_town_2,ratio
yes,72962,70921,70921,Machael J. Sullivan,Michael J. Sullivan,State Representative,Seventh Plymouth,,State Representative,Seventh Plymouth,,95
yes,72731,63202,63202,Michael W. Morriasey,Michael W. Morrissey,State Senate,Norfolk,,State Senate,Norfolk and Plymouth,Quincy,95
yes,62650,78539,78539,William R. Keating,Bill Keating,U.S. House,9,Bourne,U.S. House,9,Bourne,100
yes,68287,72748,68287,Jonathan L. Healy,Jonatham L. Healy,State Representative,First Franklin,,State Representative,First Franklin,,94
yes,70526,63192,63192,John M. Menard,Joan M. Menard,State Representative,Fifth Bristol,,State Senate,First Bristol and Plymouth,Fall River,93
yes,70787,63656,63656,Kevin Piorier,Kevin Poirier,State Representative,Fourteenth Bristol,,State Representative,Fourteenth Bristol,,92
yes,71165,63812,63812,Louis R. Godens,Louis R. Godena,U.S. House,1,,State Representative,Third Worcester,,93
yes,71239,63799,63799,Lios G. Pines,Lois G. Pines,State Senate,Middlesex and Norfolk,,State Senate,First Middlesex and Norfolk,,92
yes,72957,70856,70856,Shaila M. Richardson,Sheila M. Richardson,State Representative,Thirty-Ninth Middlesex,,State Representative,Seventeenth Middlesex,,95
yes,71548,63334,63334,Maris Marasco,Maria Marasco,State Senate,Second Essex and Middlesex,,State Representative,Eighteenth Essex,Andover,92
yes,71602,71601,71601,Michael B. Bourcher,Michael B. Boucher,State Representative,Fifth Essex,,State Representative,Fifth Essex,Rockport,97
yes,72729,63200,63200,Richard R. Tisel,Richard R. Tisei,State Senate,Third Middlesex,,U.S. House,6,Wakefield,94
yes,71546,72728,72728,"Joh  . O'Brien, Jr.","John D. O'Brien, Jr.",State Senate,Second Essex and Middlesex,,State Senate,Second Essex and Middlesex,,92
yes,72736,63309,63309,Shirley A. Comes,Shirley A. Gomes,State Representative,Fourth Barnstable,,State Representative,Fourth Barnstable,Harwich,94
yes,72944,63718,63718,Robert A. Bernsteln,Robert A. Bernstein,State Senate,First Worcester,,State Senate,First Worcester,,95
yes,72956,63484,63484,Vincent Paul Ciamps,Vincent Paul Ciampa,State Representative,Thirty-Seventh Middlesex,,State Representative,Thirty-Fourth Middlesex,Somerville,95
yes,72748,68287,68287,Jonatham L. Healy,Jonathan L. Healy,State Representative,First Franklin,,State Representative,First Franklin,,94
yes,72950,63568,63568,Walter A. DeFilippl,Walter A. DeFilippi,State Representative,Sixth Hampden,,State Representative,Sixth Hampden,,95
yes,72948,63748,63748,M. Paul Lannuccillo,M. Paul Iannuccillo,State Representative,Sixteenth Essex,,State Representative,Sixteenth Essex,,95
yes,77977,78539,78539,William Richard Keating,Bill Keating,U.S. House,9,Bourne,U.S. House,9,Bourne,100
yes,72943,63202,63202,Michael W. Morrlssey,Michael W. Morrissey,State Senate,Norfolk and Plymouth,,State Senate,Norfolk and Plymouth,Quincy,95
yes,72920,63625,63625,"Edword J. Clancy, Jr.","Edward J. Clancy, Jr.",State Representative,Eleventh Essex,,State Senate,First Essex,,95
yes,72761,63785,63785,John F. McDonough,John E. McDonough,State Representative,Twelfth Suffolk,,State Representative,Eleventh Suffolk,,94
yes,72760,63069,63069,Thomas P. Keneedy,Thomas P. Kennedy,State Representative,Ninth Plymouth,,State Senate,Second Plymouth and Bristol,Brockton,94
no,72961,68114,0,Brian L. Donnelly,Brian J. Donnelly,State Representative,Sixth Plymouth,,U.S. House,11,,94
no,70892,71935,0,Susan Gallagher,Susan C. Gallagher,State Representative,First Norfolk,,U.S. Senate,Class 2,,91
no,74223,9621,0,George H. Bush,George W. Bush,President,,,President,,,93
no,74043,63032,0,Thomas J. McCarthy,Thomas A. McCarthy,State Representative,First Suffolk,,State Senate,First Hampden and Hampshire,Springfield,94
no,72795,63494,0,Joseph W. Mullin,Joseph E. Mullin,State Senate,Fifth Middlesex,,State Representative,Fifth Plymouth,,94
no,72137,62716,0,Robert D. Finneran,Robert V. Finneran,State Representative,Ninth Norfolk,,State Representative,Second Essex,Newbury,94
no,63819,63084,0,Michael T. Moore,Michael O. Moore,U.S. House,3,,State Senate,Second Worcester,Millbury,94
no,63405,62883,0,James B. Stanton,James M. Stanton,State Representative,Twelfth Worcester,Boylston,State Representative,Twelfth Norfolk,Walpole,94
no,72749,78499,0,Michael P. Walsh,Michael C. Walsh,State Representative,Third Hampden,,Governor's Council,Fifth,Lynnfield,94
