id_dup,id_canonical,name_canonical,note
110223,73734,Damian M. Anketell,same_district - medium confidence
93043,63171,Lawrence P. Novak,same_district - medium confidence
72991,63637,Matthew John Amorello,same_district - medium confidence
72464,62869,James Michael Murphy,same_district - medium confidence
110265,78102,Brendan P. Crighton,consecutive_winner - high confidence
110261,78082,"David K. Muradian, Jr",consecutive_winner - high confidence
110257,70523,Carol A. Doherty,consecutive_winner - high confidence
110240,78056,Michelle M. Dubois,consecutive_winner - high confidence
110233,77944,Daniel Joseph Ryan,consecutive_winner - high confidence
110203,88290,Dawne F. Shand,consecutive_winner - high confidence
110183,74528,Elizabeth A. Warren,consecutive_winner - high confidence
88412,72741,Antonio F.D. Cabral,consecutive_winner - high confidence
88394,78419,Brian W. Murray,consecutive_winner - high confidence
88346,62941,Edward F. Coppinger,consecutive_winner - high confidence
82257,78659,Maria D. Robinson,consecutive_winner - high confidence
82248,78309,Patrick M. O'Connor,consecutive_winner - high confidence
82212,78029,Eric Philip Lesser,consecutive_winner - high confidence
78635,63048,Cynthia Stone Creem,consecutive_winner - high confidence
